img_name,lon,lat,damage,elevation,near_dist,slope,aspect
-93.528502_30.987438.jpeg,-93.528502,30.987438,1,30.1100006,2505.718018,1.188,NW
-93.5302_30.988157.jpeg,-93.5302,30.988157,1,29.8099995,2369.253418,0.422,NW
-93.53950999999999_30.982944.jpeg,-93.53951,30.982944,1,29.0799999,1957.698608,0.179,flat
-93.539521_30.982434.jpeg,-93.539521,30.982434,1,28.9899998,1908.071533,0.157,E
-93.540151_30.982689.jpeg,-93.540151,30.982689,1,29.0799999,1903.523438,0.139,flat
-93.547871_30.900207.jpeg,-93.547871,30.900207,1,25.6800003,35.9370804,4.1389999,W
-93.548123_30.900623.jpeg,-93.548123,30.900623,1,24.9799995,34.7434349,4.5689998,SW
-93.54819300000001_30.901116.jpeg,-93.548193,30.901116,1,25.8799992,84.7213745,2.119,W
-93.553566_30.842361999999998.jpeg,-93.553566,30.842362,1,23.3799992,416.2328796,0.592,flat
-93.558326_30.895248.jpeg,-93.558326,30.895248,1,26.2800007,112.9988174,1.61,NW
-93.55919200000001_30.98323.jpeg,-93.559192,30.98323,1,28.5499992,591.942627,0.968,flat
-93.55964_30.895018.jpeg,-93.55964,30.895018,1,23.0300007,110.1228333,2.9849999,N
-93.560128_30.894917.jpeg,-93.560128,30.894917,1,24.4300003,104.6694336,3.2219999,NW
-93.560702_30.766426.jpeg,-93.560702,30.766426,1,20.5799999,864.979248,0.258,flat
-93.560879_30.766663.jpeg,-93.560879,30.766663,1,20.4400005,894.1154785,0.539,flat
-93.561578_30.985207.jpeg,-93.561578,30.985207,1,29.0200005,317.4351807,0.56,SW
-93.563851_30.894492.jpeg,-93.563851,30.894492,1,24.0300007,43.4130936,2.586,N
-93.567212_30.976639000000002.jpeg,-93.567212,30.976639,1,28.1100006,85.3837585,0.038,flat
-93.568855_30.695041999999997.jpeg,-93.568855,30.695042,1,23.5,1991.352905,0.605,flat
-93.569715_30.973932.jpeg,-93.569715,30.973932,1,27.9699993,151.6894226,0.614,SE
-93.571101_30.992109000000003.jpeg,-93.571101,30.992109,1,27.6299992,92.2545013,1.984,flat
-93.572587_30.994013.jpeg,-93.572587,30.994013,1,27.5200005,124.9121017,0.381,flat
-93.57315600000001_30.994087.jpeg,-93.573156,30.994087,1,27.8400002,80.0494537,0.781,flat
-93.573763_30.693981.jpeg,-93.573763,30.693981,1,23.2900009,1508.151001,0.814,E
-93.577584_30.776458.jpeg,-93.577584,30.776458,1,21.6200008,492.5419312,0.224,flat
-93.57781_30.779509.jpeg,-93.57781,30.779509,1,21.3099995,407.3604431,0.203,SE
-93.578271_30.779923999999998.jpeg,-93.578271,30.779924,1,21.5,368.0672607,0.419,SE
-93.578405_30.779559999999996.jpeg,-93.578405,30.77956,1,21.8099995,350.7721863,0.46,S
-93.59011_30.695412.jpeg,-93.59011,30.695412,1,17.5699997,80.2523956,4.2210002,NW
-93.59030899999999_30.694764000000003.jpeg,-93.590309,30.694764,1,18.9300003,36.6518478,2.8710001,SW
-93.590598_30.694956.jpeg,-93.590598,30.694956,1,16.6299992,19.2821236,3.5699999,W
-93.593345_30.678295000000002.jpeg,-93.593345,30.678295,1,15.9799995,5.3747578,2.7460001,NW
-93.59406899999999_30.677996999999998.jpeg,-93.594069,30.677997,1,16.9200001,8.5822811,2.4909999,NW
-93.59649399999999_30.674293.jpeg,-93.596494,30.674293,1,16.4400005,16.4632683,2.5869999,N
-93.597636_30.674362.jpeg,-93.597636,30.674362,1,18.1599998,25.6889572,2.733,N
-93.598404_30.946317999999998.jpeg,-93.598404,30.946318,1,39.75,3602.596191,6.0560002,NE
-93.59925600000001_30.668673.jpeg,-93.599256,30.668673,1,18.8099995,50.1243057,3.0120001,NE
-93.599611_30.668616999999998.jpeg,-93.599611,30.668617,1,16.9200001,27.4587307,3.5039999,NW
-93.599777_30.67408.jpeg,-93.599777,30.67408,1,15.9499998,13.6723652,1.701,flat
-93.601916_30.793329999999997.jpeg,-93.601916,30.79333,1,21.7600002,1384.241821,0.688,flat
-93.602049_30.793664.jpeg,-93.602049,30.793664,1,22.0699997,1413.139282,0.896,flat
-93.602625_30.02372.jpeg,-93.602625,30.02372,1,-0.2,668.8141479,1.709,flat
-93.602923_30.79512.jpeg,-93.602923,30.79512,1,23.6399994,1567.972534,0.819,flat
-93.60299300000001_30.793817999999998.jpeg,-93.602993,30.793818,1,22.5900002,1500.612427,1.228,SW
-93.604017_30.793719.jpeg,-93.604017,30.793719,1,22.3400002,1582.908081,0.368,flat
-93.60407099999999_30.791790999999996.jpeg,-93.604071,30.791791,1,22.2800007,1506.392456,0.047,flat
-93.604302_30.791238.jpeg,-93.604302,30.791238,1,22.0300007,1507.991333,0.172,flat
-93.604393_30.793328000000002.jpeg,-93.604393,30.793328,1,22.2399998,1597.162476,0.202,flat
-93.604618_30.792952000000003.jpeg,-93.604618,30.792952,1,22.1000004,1600.517822,0.056,flat
-93.604811_30.793684999999996.jpeg,-93.604811,30.793685,1,22.3400002,1649.928955,0.512,flat
-93.604913_30.794565000000002.jpeg,-93.604913,30.794565,1,22.1399994,1701.714233,1.219,E
-93.605042_30.794779.jpeg,-93.605042,30.794779,1,22.4899998,1723.705078,1.122,E
-93.605117_30.794303999999997.jpeg,-93.605117,30.794304,1,23.0799999,1705.967407,1.044,flat
-93.606053_30.799283000000003.jpeg,-93.606053,30.799283,1,22.8099995,2042.881226,1.419,E
-93.60703000000001_30.666453000000004.jpeg,-93.60703,30.666453,1,16.2000008,24.9292088,2.2579999,NE
-93.60785_30.663002000000002.jpeg,-93.60785,30.663002,1,16.25,8.4388132,2.4690001,W
-93.607866_30.662609999999997.jpeg,-93.607866,30.66261,1,16.2000008,10.259038,2.339,NW
-93.607947_30.662033.jpeg,-93.607947,30.662033,1,17.3700008,26.7980709,0.817,flat
-93.60805400000001_30.662183000000002.jpeg,-93.608054,30.662183,1,17.3700008,11.6529427,0.817,NW
-93.60851_30.661345.jpeg,-93.60851,30.661345,1,17.2600002,7.6852956,1.918,NW
-93.608532_30.661488000000002.jpeg,-93.608532,30.661488,1,15.9399996,0,1.982,NW
-93.608848_30.660947999999998.jpeg,-93.608848,30.660948,1,16.9599991,12.2308149,2.0280001,NW
-93.60949699999999_30.66085.jpeg,-93.609497,30.66085,1,14.9499998,10.1521559,1.4299999,N
-93.609937_30.730490999999997.jpeg,-93.609937,30.730491,1,19.7199993,35.7260895,1.59,flat
-93.61005_30.730487.jpeg,-93.61005,30.730487,1,19.9699993,46.4716225,0.292,flat
-93.61080600000001_30.666269.jpeg,-93.610806,30.666269,1,17.0799999,5.8826351,0.975,W
-93.611074_30.731068.jpeg,-93.611074,30.731068,1,19.5200005,113.9786301,0.391,flat
-93.611165_30.730172999999997.jpeg,-93.611165,30.730173,1,19.6700001,157.4680023,0.098,flat
-93.611182_30.668977.jpeg,-93.611182,30.668977,1,16.7900009,29.1981754,0.582,flat
-93.611461_30.670269.jpeg,-93.611461,30.670269,1,15.5,8.2000227,0.278,flat
-93.61154599999999_30.730113.jpeg,-93.611546,30.730113,1,19.6900005,194.5402985,0.166,flat
-93.612668_30.732884000000002.jpeg,-93.612668,30.732884,1,19.4799995,203.7173309,0.919,flat
-93.613354_30.672092.jpeg,-93.613354,30.672092,1,17.1499996,225.1316071,0.205,flat
-93.6141_30.754263.jpeg,-93.6141,30.754263,1,21.1399994,118.641983,0.102,S
-93.61556999999999_30.731409000000003.jpeg,-93.61557,30.731409,1,19.7299995,131.2933655,0.12,SE
-93.616212_30.730793.jpeg,-93.616212,30.730793,1,19.3099995,56.2363548,1.115,flat
-93.618225_30.641732.jpeg,-93.618225,30.641732,1,17.6599998,448.8028259,0.968,N
-93.618381_30.641293.jpeg,-93.618381,30.641293,1,18.2399998,467.7940369,0.233,NE
-93.618483_30.730039.jpeg,-93.618483,30.730039,1,19.3799992,83.1604462,0.369,flat
-93.619067_30.642046.jpeg,-93.619067,30.642046,1,17.25,363.5868225,1.348,NW
-93.619314_30.642452000000002.jpeg,-93.619314,30.642452,1,16.8500004,317.4934692,1.7079999,N
-93.61931899999999_30.641049.jpeg,-93.619319,30.641049,1,18.3400002,426.3446045,0.249,flat
-93.619539_30.648549.jpeg,-93.619539,30.648549,1,16.3400002,41.9808083,0.903,flat
-93.620811_30.645815999999996.jpeg,-93.620811,30.645816,1,16.5200005,36.655304,0.462,flat
-93.622506_30.640729999999998.jpeg,-93.622506,30.64073,1,17.5100002,370.3490601,0.602,NW
-93.62290300000001_30.64392.jpeg,-93.622903,30.64392,1,14.1400003,18.2240372,0.541,flat
-93.623294_30.018127000000003.jpeg,-93.623294,30.018127,1,0.51,2.4096522,0.47,flat
-93.623305_30.642059999999997.jpeg,-93.623305,30.64206,1,15.1300001,227.7471771,1.678,N
-93.62530100000001_30.64319.jpeg,-93.625301,30.64319,1,15.8400002,78.2047806,1.3940001,E
-93.625478_30.732382.jpeg,-93.625478,30.732382,1,21.4699993,795.2418823,3.1289999,SE
-93.626068_30.684521000000004.jpeg,-93.626068,30.684521,1,18.1700001,59.5352592,0.404,flat
-93.626075_30.635578999999996.jpeg,-93.626075,30.635579,1,17.4099998,707.7749023,0.413,flat
-93.627666_30.743188.jpeg,-93.627666,30.743188,1,20.5499992,774.9592285,0.487,flat
-93.627763_30.743806.jpeg,-93.627763,30.743806,1,21.3400002,799.5511475,1.0420001,S
-93.62848699999999_30.643255.jpeg,-93.628487,30.643255,1,15.0699997,10.5916634,0.463,flat
-93.628584_30.132113.jpeg,-93.628584,30.132113,1,0.37,4415.181152,0.026,flat
-93.63078900000001_30.641538.jpeg,-93.630789,30.641538,1,14.6899996,19.2720356,1.316,flat
-93.63359399999999_30.640924.jpeg,-93.633594,30.640924,1,15.0699997,18.5321636,1.345,N
-93.635751_30.036472999999997.jpeg,-93.635751,30.036473,1,0.76,37.2750397,0.569,NW
-93.635751_30.036489000000003.jpeg,-93.635751,30.036489,1,0.76,38.7145653,0.569,NW
-93.636223_30.036633000000002.jpeg,-93.636223,30.036633,1,0.81,21.0198917,0.357,flat
-93.636271_30.036668.jpeg,-93.636271,30.036668,1,0.55,20.563179,0.08,flat
-93.64050300000001_30.085815000000004.jpeg,-93.640503,30.085815,1,0.34,2938.101807,0.205,SE
-93.642123_30.079478.jpeg,-93.642123,30.079478,1,0.54,2221.697998,0.087,SE
-93.642544_30.215190999999997.jpeg,-93.642544,30.215191,1,4.0799999,3016.36792,0.976,flat
-93.64260999999999_30.215895.jpeg,-93.64261,30.215895,1,3.6900001,2980.998291,0.388,flat
-93.64279300000001_30.215909000000003.jpeg,-93.642793,30.215909,1,3.8800001,2964.050537,0.806,flat
-93.647869_30.125988.jpeg,-93.647869,30.125988,1,1.22,2519.75,0.313,flat
-93.64801899999999_30.125728999999996.jpeg,-93.648019,30.125729,1,1.0599999,2492.266846,0.366,flat
-93.649897_30.670034.jpeg,-93.649897,30.670034,1,17.4799995,60.3397675,0.17,S
-93.651173_30.127739000000002.jpeg,-93.651173,30.127739,1,1.64,2343.693115,0.094,SW
-93.651736_30.140321000000004.jpeg,-93.651736,30.140321,1,2.3,2258.409668,0.156,W
-93.65189699999999_30.114621000000003.jpeg,-93.651897,30.114621,1,1.3,1744.86792,0.489,flat
-93.652665_30.140504999999997.jpeg,-93.652665,30.140505,1,2.21,2177.626709,0.026,W
-93.653552_30.246938.jpeg,-93.653552,30.246938,1,5.2800002,914.6473389,0.835,N
-93.653559_30.246914.jpeg,-93.653559,30.246914,1,5.2800002,917.1960449,0.835,N
-93.653711_30.139732000000002.jpeg,-93.653711,30.139732,1,2.1800001,2057.837402,0.081,SW
-93.653931_30.139034999999996.jpeg,-93.653931,30.139035,1,1.92,2019.128174,0.475,W
-93.655073_30.120778.jpeg,-93.655073,30.120778,1,2.3900001,1628.995239,0.276,flat
-93.655363_30.120982.jpeg,-93.655363,30.120982,1,2.4000001,1615.345825,0.249,flat
-93.65549200000001_30.121252000000002.jpeg,-93.655492,30.121252,1,2.46,1619.463745,0.537,flat
-93.655636_30.121515999999996.jpeg,-93.655636,30.121516,1,2.6300001,1622.63855,0.295,flat
-93.655764_30.206434.jpeg,-93.655764,30.206434,1,3.8699999,2118.580566,0.506,W
-93.65583000000001_30.1218.jpeg,-93.65583,30.1218,1,2.0699999,1623.601563,0.787,flat
-93.655907_30.206408000000003.jpeg,-93.655907,30.206408,1,3.5,2107.439209,0.776,W
-93.65592099999999_30.206383000000002.jpeg,-93.655921,30.206383,1,3.47,2107.439453,0.852,W
-93.655925_30.206165000000002.jpeg,-93.655925,30.206165,1,3.47,2114.888672,0.852,W
-93.65594200000001_30.206156.jpeg,-93.655942,30.206156,1,3.47,2113.658447,0.852,W
-93.65606_30.206103999999996.jpeg,-93.65606,30.206104,1,3.4100001,2104.772949,0.916,W
-93.65613_30.076164000000002.jpeg,-93.65613,30.076164,1,0.55,1860.596191,0.085,NE
-93.656162_30.121910999999997.jpeg,-93.656162,30.121911,1,2.3699999,1603.648071,0.294,flat
-93.656327_30.206698.jpeg,-93.656327,30.206698,1,3.2,2057.068359,0.783,W
-93.656334_30.122694.jpeg,-93.656334,30.122694,1,2.1900001,1640.229614,0.643,flat
-93.656522_30.139972999999998.jpeg,-93.656522,30.139973,1,1.91,1804.910156,1.194,flat
-93.656543_30.139870000000002.jpeg,-93.656543,30.13987,1,1.91,1799.574219,1.194,flat
-93.65662900000001_30.122471.jpeg,-93.656629,30.122471,1,2.5799999,1602.679199,0.367,flat
-93.65670899999999_30.140024.jpeg,-93.656709,30.140024,1,2.1400001,1789.469238,1.1210001,flat
-93.656763_30.121177000000003.jpeg,-93.656763,30.121177,1,1.9400001,1510.671753,0.162,flat
-93.656945_30.140320000000003.jpeg,-93.656945,30.14032,1,1.66,1778.309692,1.138,flat
-93.65706899999999_30.121336.jpeg,-93.657069,30.121336,1,1.97,1495.596069,0.214,flat
-93.657546_30.045112.jpeg,-93.657546,30.045112,1,0.69,1440.455933,0.145,flat
